model,k,S,seed,auroc,bal_acc,pos_rate,dt_cv,seconds
lti,3,2,0,0.6421525415529153,0.5957232766532419,0.03261878713965416,,58.61371994018555
lti,3,2,1,0.639555713140455,0.5951851282367606,0.03198642283678055,,88.32213377952576
lti,3,2,2,0.6369555672396366,0.5926463293650794,0.031762294471263885,,91.28322958946228
lti,3,4,0,0.7518233940244496,0.6788998407485767,0.03261878713965416,,59.07977533340454
lti,3,4,1,0.703161799711927,0.6451636782153105,0.03198642283678055,,94.98715782165527
lti,3,4,2,0.7052773731685494,0.6449086074842123,0.031762294471263885,,94.5904483795166
lti,3,8,0,0.8254238777840889,0.7461021717861465,0.03261878713965416,,64.96106314659119
lti,3,8,1,0.9719535030515581,0.9370594339915942,0.03198642283678055,,109.20318722724915
lti,3,8,2,0.8557863828285011,0.7725195745861069,0.031762294471263885,,104.4667820930481
lti,3,12,0,0.986493229441294,0.9620322636043311,0.03261878713965416,,98.28253674507141
lti,3,12,1,0.9893085623578793,0.9700131530995157,0.03198642283678055,,177.59318280220032
lti,3,12,2,0.9958401608536279,0.9826315550861922,0.031762294471263885,,167.19935631752014
lti,3,16,0,0.9928424183535045,0.9723328523792455,0.03261878713965416,,110.04473900794983
lti,3,16,1,0.9977619124267654,0.9891722503438178,0.03198642283678055,,187.15582060813904
lti,3,16,2,0.9975425885590011,0.987938561401263,0.031762294471263885,,160.68717193603516
lti,3,24,0,0.9990514400220234,0.993587368399037,0.03261878713965416,,144.3732078075409
lti,3,24,1,0.99965108329313,0.9965361120721158,0.03198642283678055,,200.76510500907898
lti,3,24,2,0.999371334765425,0.9951247546509643,0.031762294471263885,,212.35870885849
lti,3,32,0,0.9996357243619853,0.9959153438906334,0.03261878713965416,,155.73878002166748
lti,3,32,1,0.999860014895324,0.998147719379486,0.03198642283678055,,231.43522095680237
lti,3,32,2,0.9998014956290536,0.9970966141833078,0.031762294471263885,,244.4396688938141
lti,3,48,0,0.999935172472119,0.9989795157012482,0.03261878713965416,,199.51718544960022
lti,3,48,1,0.9999327296734104,0.9985951204404551,0.03198642283678055,,268.0391502380371
lti,3,48,2,0.999968343807337,0.9993055555555556,0.031762294471263885,,269.28221917152405
lti,3,64,0,0.9999805127549624,0.9995449016573854,0.03261878713965416,,261.24857664108276
lti,3,64,1,0.9999781083799375,0.9992949487045342,0.03198642283678055,,306.970294713974
lti,3,64,2,0.9999780694297769,0.9993159562211982,0.031762294471263885,,322.1953275203705
lti,4,2,0,0.6051343963729198,0.570637552462177,0.03382975235581398,,58.96844124794006
lti,4,2,1,0.6222341495534475,0.5862332378441191,0.0352376289665699,,87.43056654930115
lti,4,2,2,0.6180628523640603,0.5778895899737788,0.03481445461511612,,88.3298921585083
lti,4,4,0,0.7147483314393678,0.6545335967413031,0.03382975235581398,,62.8810601234436
lti,4,4,1,0.6743238944793857,0.6239821632251912,0.0352376289665699,,93.6544075012207
lti,4,4,2,0.6898854000674005,0.6341536922917297,0.03481445461511612,,100.01475763320923
lti,4,8,0,0.7704513886652316,0.6979405373773591,0.03382975235581398,,66.26417660713196
lti,4,8,1,0.8047304486564463,0.7262687419093103,0.0352376289665699,,83.54779291152954
lti,4,8,2,0.8118973705347208,0.7346285902101228,0.03481445461511612,,105.12134408950806
lti,4,12,0,0.975278364748629,0.9446668705212624,0.03382975235581398,,76.90549325942993
lti,4,12,1,0.9852206463200938,0.9638572804762707,0.0352376289665699,,164.74305891990662
lti,4,12,2,0.9894489026076969,0.9693171592105533,0.03481445461511612,,164.50654935836792
lti,4,16,0,0.9800861408421802,0.9437732355857618,0.03382975235581398,,74.91744422912598
lti,4,16,1,0.9971175491383081,0.9862300819272132,0.0352376289665699,,168.03280305862427
lti,4,16,2,0.9950947255331374,0.9797688004476083,0.03481445461511612,,139.92052030563354
lti,4,24,0,0.9950353200446405,0.9780679657554834,0.03382975235581398,,133.9641833305359
lti,4,24,1,0.9984072983500594,0.9897841995708343,0.0352376289665699,,178.19401931762695
lti,4,24,2,0.9990084480299589,0.9942857312468187,0.03481445461511612,,212.73737573623657
lti,4,32,0,0.998921187425457,0.9923789081017766,0.03382975235581398,,152.1424162387848
lti,4,32,1,0.9994488366452603,0.9952128636731561,0.0352376289665699,,201.79749417304993
lti,4,32,2,0.9996681812178421,0.9963633896843056,0.03481445461511612,,212.76299405097961
lti,4,48,0,0.9999025087579464,0.9977135076994101,0.03382975235581398,,195.126038312912
lti,4,48,1,0.9998863304965796,0.9979159162435238,0.0352376289665699,,251.21069478988647
lti,4,48,2,0.9998635616542507,0.9979262794444479,0.03481445461511612,,256.89989829063416
lti,4,64,0,0.9999510061678716,0.9984402404246889,0.03382975235581398,,237.02300548553467
lti,4,64,1,0.9999727558654761,0.9991996731093477,0.0352376289665699,,288.24399852752686
lti,4,64,2,0.9999366943104402,0.9987207323429217,0.03481445461511612,,288.7965054512024
lti,5,2,0,0.5909033466855089,0.561596374389945,0.040485963225364685,,57.511359453201294
lti,5,2,1,0.5870264951802558,0.5544650778372274,0.040808726102113724,,88.43228197097778
lti,5,2,2,0.6012284058425523,0.5709509759590434,0.041950806975364685,,89.41847896575928
lti,5,4,0,0.6819549694480651,0.6257020894022637,0.040485963225364685,,61.683239698410034
lti,5,4,1,0.6672035172865374,0.6207728306701015,0.040808726102113724,,92.50059247016907
lti,5,4,2,0.6699843976675177,0.6184845711849695,0.041950806975364685,,91.91289520263672
lti,5,8,0,0.7419422260167557,0.6748770933622165,0.040485963225364685,,62.82022786140442
